Time[s], LIVE
0.0000000, 0
65.8178742, 1
65.8183862, 0
65.8193903, 1
65.8199022, 0
65.8208964, 1
65.8214083, 0
65.8224125, 1
65.8229244, 0
65.8239186, 1
65.8244305, 0
65.8254247, 1
65.8259465, 0
65.8269407, 1
65.8274526, 0
65.8284468, 1
65.8289586, 0
65.8299627, 1
65.8314852, 0
65.8324793, 1
65.8329911, 0
65.8339852, 1
65.8355075, 0
65.8365116, 1
65.8380240, 0
65.8390281, 1
65.8405503, 0
65.8415445, 1
65.8430668, 0
65.8440609, 1
65.8445728, 0
65.8455670, 1
65.8470893, 0
65.8480835, 1
65.8496058, 0
65.8506099, 1
65.8521224, 0
65.8531265, 1
65.8546488, 0
65.8556429, 1
65.8561547, 0
65.8571488, 1
65.8586711, 0
65.8596751, 1
65.8611875, 0
65.8621916, 1
65.8637139, 0
65.8647081, 1
65.8652199, 0
65.8662141, 1
65.8667260, 0
65.8677300, 1
65.8692522, 0
65.8702464, 1
65.8717687, 0
65.8727629, 1
65.8742853, 0
65.8752794, 1
65.8768017, 0
65.8777959, 1
65.8793183, 0
65.8803126, 1
65.8818349, 0
65.8828390, 1
65.8843514, 0
65.8853554, 1
65.8858673, 0
65.8868614, 1
65.8873733, 0
65.8883775, 1
65.8888893, 0
65.8898836, 1
65.8903955, 0
65.8913897, 1
65.8919115, 0
65.8929058, 1
65.8934177, 0
65.8944119, 1
65.8949336, 0
65.8959278, 1
65.8964397, 0
65.8974339, 1
65.8979557, 0
65.8989499, 1
65.9004725, 0
65.9014668, 1
65.9029894, 0
65.9039837, 1
65.9055062, 0
65.9065004, 1
65.9070123, 0
65.9080165, 1
65.9095291, 0
65.9105332, 1
65.9110451, 0
65.9120393, 1
65.9135618, 0
65.9150581, 1
65.9155701, 0
65.9165743, 1
65.9170862, 0
65.9180805, 1
65.9185925, 0
65.9195967, 1
65.9201087, 0
65.9211029, 1
65.9216148, 0
65.9226190, 1
65.9231310, 0
65.9241253, 1
65.9246372, 0
65.9256314, 1
65.9261532, 0
65.9271474, 1
65.9286699, 0
65.9296642, 1
65.9301760, 0
65.9311802, 1
65.9326928, 0
65.9336969, 1
65.9352094, 0
65.9362135, 1
65.9377260, 0
65.9387302, 1
65.9402527, 0
65.9412469, 1
65.9417588, 0
65.9427531, 1
65.9442756, 0
65.9452797, 1
65.9467922, 0
65.9477963, 1
65.9493088, 0
65.9503130, 1
65.9518255, 0
65.9528295, 1
65.9533414, 0
65.9543356, 1
65.9558581, 0
65.9568523, 1
65.9583748, 0
65.9593789, 1
65.9608915, 0
65.9618956, 1
65.9624075, 0
65.9634017, 1
65.9639136, 0
65.9649177, 1
65.9664303, 0
65.9674344, 1
65.9689470, 0
65.9699511, 1
65.9714735, 0
65.9724677, 1
65.9739901, 0
65.9749843, 1
65.9765069, 0
65.9775011, 1
65.9790236, 0
65.9800178, 1
65.9815403, 0
65.9825345, 1
65.9830463, 0
65.9840504, 1
65.9845623, 0
65.9855564, 1
65.9860683, 0
65.9870724, 1
65.9875843, 0
65.9885785, 1
65.9890904, 0
65.9900945, 1
65.9906063, 0
65.9916005, 1
65.9921124, 0
65.9931165, 1
65.9936284, 0
65.9946225, 1
65.9951344, 0
65.9961286, 1
65.9976511, 0
65.9986552, 1
66.0001678, 0
66.0011719, 1
66.0026944, 0
66.0036886, 1
66.0042005, 0
66.0051947, 1
66.0067172, 0
66.0077115, 1
66.0082333, 0
66.0092275, 1
66.0107500, 0
66.0122463, 1
66.0127581, 0
66.0137623, 1
66.0142741, 0
66.0152683, 1
66.0157802, 0
66.0167843, 1
66.0172962, 0
66.0182904, 1
66.0188023, 0
66.0197965, 1
66.0203183, 0
66.0213125, 1
66.0218244, 0
66.0228186, 1
66.0233304, 0
66.0243345, 1
66.0258570, 0
66.0268512, 1
66.0273631, 0
66.0283573, 1
66.0298797, 0
66.0308837, 1
66.0323962, 0
66.0334003, 1
66.0349127, 0
66.0359168, 1
66.0374392, 0
66.0384334, 1
66.0389453, 0
66.0399395, 1
66.0414620, 0
66.0424562, 1
66.0439787, 0
66.0449828, 1
66.0464954, 0
66.0474995, 1
66.0490219, 0
66.0500161, 1
66.0505279, 0
66.0515221, 1
66.0530445, 0
66.0540387, 1
66.0555612, 0
66.0565554, 1
66.0580778, 0
66.0590819, 1
66.0595938, 0
66.0605880, 1
66.0610999, 0
66.0621040, 1
66.0636166, 0
66.0646207, 1
66.0661333, 0
66.0671374, 1
66.0686598, 0
66.0696540, 1
66.0711765, 0
66.0721706, 1
66.0736931, 0
66.0746873, 1
66.0762099, 0
66.0772041, 1
66.0787267, 0
66.0797210, 1
66.0802329, 0
66.0812371, 1
66.0817490, 0
66.0827432, 1
66.0832552, 0
66.0842594, 1
66.0847713, 0
66.0857655, 1
66.0862774, 0
66.0872815, 1
66.0877934, 0
66.0887876, 1
66.0892995, 0
66.0903036, 1
66.0908155, 0
66.0918097, 1
66.0923216, 0
66.0933158, 1
66.0948383, 0
66.0958325, 1
66.0973550, 0
66.0983591, 1
66.0998716, 0
66.1008758, 1
66.1013877, 0
66.1023818, 1
66.1039042, 0
66.1048984, 1
66.1054103, 0
66.1064143, 1
66.1079367, 0
